media,region
Toronto Star,National
Globe and Mail,National
Vancouver Sun,British Columbia
Edmonton Journal,Alberta
Le Devoir,Quebec
National Post,National
Calgary Herald,Alberta
Whitehorse Daily Star,Yukon
Montreal Gazette,Quebec
Chronicle Herald,Nova Scotia
The Telegram,Newfoundland and Labrador
Times Colonist,British Columbia
La Presse Plus,Quebec
La Presse,Quebec
Winnipeg Free Press,Manitoba
Acadie Nouvelle,New Brunswick
Star Phoenix,Saskatchewan
Le Droit,Ontario
Toronto Sun,Ontario
Journal de Montreal,Quebec
